E_MeV,electron_dLdE_ph_per_MeV,electron_L_ph,alpha_dLdE_ph_per_MeV,alpha_L_ph,o16_dLdE_ph_per_MeV,o16_L_ph,alpha_over_electron_L,o16_over_electron_L
0.0458482375139,44731.9944799,2002.53137778,15080.6686689,878.099826162,11953.5497634,726.424738086,0.43849491494,0.362753236303
0.0464873370802,44743.7697662,2031.12333884,15013.9624894,887.716559023,11892.288463,734.04467052,0.437056943834,0.361398373247
0.0471353453479,44755.4387441,2060.12145237,14947.4379711,897.424176628,11831.2328888,741.731189507,0.435617121308,0.360042457038
0.0477923864994,44767.0023172,2089.53141625,14881.0967419,907.223464025,11770.3834614,749.484806099,0.434175555806,0.358685588678
0.0484585864482,44778.4613823,2119.35900792,14814.9404275,917.115213246,11709.7405886,757.306034819,0.432732354368,0.357327867525
0.049134072863,44789.8168296,2149.61008548,14748.9706511,927.100223397,11649.3046657,765.195393685,0.431287622653,0.355969391311
0.0498189751921,44801.0695428,2180.29058885,14683.1890332,937.179300756,11589.0760754,773.153404232,0.429841464963,0.354610256167
0.0505134246882,44812.220399,2211.40654087,14617.5971913,947.353258871,11529.0551879,781.180591536,0.428393984263,0.353250556647
0.0512175544336,44823.2702688,2242.96404849,14552.1967399,957.622918659,11469.2423608,789.277484235,0.426945282205,0.351890385745
0.0519314993659,44834.2200163,2274.9693039,14486.9892899,967.98910851,11409.6379396,797.444614558,0.425495459147,0.350529834926
0.0526553963033,44845.0704992,2307.42858578,14421.9764488,978.452664392,11350.2422571,805.682518344,0.424044614174,0.349168994139
0.0533893839715,44855.8141739,2340.34825737,14357.1598199,989.014429952,11291.055634,813.991735065,0.422592845675,0.347807952301
0.0541336030297,44866.1942087,2373.73467165,14292.5410023,999.675256634,11232.0783787,822.372807856,0.421140268359,0.346446811295
0.0548881960979,44876.4824347,2407.59427252,14228.1215904,1010.43600378,11173.3107874,830.826283534,0.419686994323,0.34508567038
0.0556533077843,44886.6796212,2441.93369466,14163.9031738,1021.29753875,11114.7531444,839.352712625,0.418233116233,0.343724612367
0.0564290847126,44896.7865319,2476.75966546,14099.8873365,1032.26073705,11056.4057217,847.952649386,0.416778725624,0.342363718698
0.0572156755506,44906.803925,2512.07900619,14036.0756571,1043.3264824,10998.2687795,856.626651835,0.415323912914,0.341003069459
0.0580132310383,44916.7325529,2547.89863342,13972.4697076,1054.49566693,10940.3425658,865.375281771,0.413868767423,0.339642743405
0.058821904017,44926.5731625,2584.22556024,13909.0710538,1065.76919124,10882.6273171,874.1991048,0.412413377392,0.338282817975
0.0596418494584,44936.326495,2621.0668977,13845.8812542,1077.14796455,10825.1232578,883.098690364,0.410957829995,0.336923369311
0.0604732244946,44945.9932862,2658.42985613,13782.9018597,1088.63290483,10767.8306009,892.074611762,0.40950221136,0.335564472278
0.061316188448,44955.5742664,2696.32174653,13720.1344134,1100.22493892,10710.7495475,901.127446179,0.408046606582,0.33420620048
0.0621709028616,44965.0701603,2734.74998197,13657.5804496,1111.92500268,10653.8802871,910.25777471,0.406591099738,0.332848626277
0.0630375315307,44974.4816872,2773.72207903,13595.2414934,1123.73404108,10597.222998,919.466182388,0.405135773904,0.331491820807
0.0639162405334,44983.8095611,2813.24565922,13533.1190604,1135.65300841,10540.7778466,928.753258209,0.403680711168,0.330135853996
0.0648071982631,44993.0544905,2853.32845048,13471.2146558,1147.68286834,10484.5449883,938.119595158,0.402225992644,0.328780794584
0.0657105754604,45002.2171784,2893.97828862,13409.529774,1159.82459412,10428.5245671,947.565790239,0.400771698487,0.327426710132
0.0666265452458,45011.0256263,2935.20299397,13348.0658977,1172.0791687,10372.7167156,957.092444496,0.399317924895,0.326073680921
